40309,20503,90,1,14,"Calatrava"
20503,20501,72,0,11,"Altagracia"
20903,21000,66,2,5,"Calle de la Estrella"
21000,20501,110,1,7,"Calle de Altagracia"
21000,20502,52,0,1,"Calle de la Estrella"
20502,20201,40,0,0,"Calle de la Estrella"
20502,20807,110,0,0,"Calle de San José"
21304,20700,240,0,0,"de Santa Catalina"
20700,20802,62,0,0,"de las Cuadras"
20802,20807,120,0,0,"de San Jose"
20807,20200,59,1,0,"de San Anton"
20200,20202,41,0,0,"de San Anton"
20202,20300,240,0,0 ,"de San Anton"
20700,20200,100,0,0,"del Norte"
20800,20801,43,1,0,"Altagracia"
20801,20802,47,0,0,"de las Cuadras"
20801,20803,53,0,0,"Altagracia"
20803,20804,74,0,0,"de Don Quijote"
20803,20805,66,0,1,"Altagracia"
20805,20806,74,0,0,"de San Antón"
20805,20807,46,0,0,"de San Antón"
20805,20808,68,0,1,"Altagracia"
50007,20901,30,0,1,"de la Estrella"
305,20900,50,0,0,"de Jacinto"
20900,20901,111,1,3,"de Elisa Cendrero"
20900,20902,80,0,4,"de Jacinto"
20901,20903,60,2,5,"de la Estrella"
20902,20903,100,0,5,"de la Luz"
20806,50006,45,0,1,"de San Antón"
50006,21002,57,2,5,"de Toledo"
21002,50007,85,1,6,"de Toledo"
20806,21001,64,0,1,"de La Luz"
21001,21002,60,2,1,"de Hervás y Buendía"
21001,20903,58,0,1,"de La Luz"
21001,20808,72,0,0,"de Hervás Y Buendía"
21000,20808,51,0,2,"de Altagracia"
20800,50003,73,3,1,"del Clavel"
50003,50004,75,1,1,"Toledo"
50004,50005,50,0,3,"Toledo"
50005,50006,65,0,5,"Toledo"
50004,20804,55,0,3,"de la Luz"
20804,20806,69,0,2,"de la luz"
50005,20804,29,0,0,"del Río"
50001,50002,110,1,2,"Toledo"
50002,50012,119,0,2,"Toledo"
50012,50003,87,0,5,"Toledo"
50012,21200,57,0,0,"Plaza de España"
21200,21302,36,0,0,"Altagracia"
20800,21200,87,0,0,"Altagracia"
50001,21300,170,0,0,"Ronda de Toledo"
50001,21301,160,0,0,"Altagracia"
21301,21302,87,1,0,"Altagracia"
21302,21303,210,2,0,"Hospital de la Misericordia"
21300,21303,140,0,2,"Ronda de Toledo"
21303,21304,270,1,1,"Ronda de Toledo"
21301,21300,117,0,0,"Colonia de Santa Bárbara"
313,314,45,3,1,"Calle de los Reyes"
314,322,36,0,1,"Calle de Abén Canes"
322,329,56,0,1,"Calle del Portillo de Barragan"
322,323,63,0,1,"Calle de Abén Canes"
314,315,71,1,4,"Calle de los Reyes"
315,385,84,1,1,"Calle del Real"
324,385,27,1,1,"Calle del Real"
385,386,45,0,0,"Calle Isla Perejil"
325,386,34,0,1,"Calle de Zarza"
316,386,80,0,1,"Calle de Zarza"
315,316,54,0,0,"Calle de los Reyes"
316,326,73,0,4,"Calle de los Reyes"
376,380,30,0,2,"del Tinte"
380,381,71,1,1,"del Tinte"
381,382,22,0,5,"del Tinte"
382,40905,75,1,3,"del Tinte"
379,380,110,5,0,"Av de la Mancha"
378,379,30,0,1,"Av de la Mancha"
377,378,37,0,3,"Av de la Mancha"
381,383,240,0,4,"del Pozo Dulce"
316,306,100,0,0,"Calle de Zarza"
306,50011,120,0,5,"Calle de Zarza"
306,307,58,1,2,"Calle de los Infantes"
306,50050,66,0,0,"Calle de los Infantes"
50050,50013,110,0,1,"Calle de los Infantes"
50050,315,110,0,3,"Calle del Real"
50050,10101,150,0,0,"Calle del Real"
335,328,56,0,6,"Calle de los Reyes"
328,344,100,1,4,"Calle de Borja"
328,331,82,1,3,"Calle de Borja"
331,319,44,0,0,"Pasaje de Pérez Molina"
328,320,82,0,2,"Calle de los Reyes"
320,388,74,0,0,"Paseo del Prado"
320,326,50,1,0,"Calle de los Reyes"
363,40906,76,3,3,"Calle Montesa"
388,331,86,0,1,"Calle del Prado"
388,318,45,0,0,"Calle del Prado"
318,317,40,0,0,"Calle del Prado"
317,326,70,0,2,"Calle de la Azucena"
326,327,110,1,10,"Calle de la Azucena"
317,307,48,2,1,"Calle de la Azucena"
307,50011,130,1,9,"Calle de la Azucena"
50013,312,94,0,5,"Pza. Sta. Maria"
312,313,30,0,6,"Ronda de Alarcos"
313,329,45,0,0,"Ronda de Alarcos"
329,330,45,0,3,"Ronda de Alarcos"
330,336,100,0,6,"Ronda de Alarcos"
336,338,33,0,4,"Ronda de Alarcos"
338,340,30,0,1,"Ronda de Alarcos"
340,350,100,0,4,"Ronda de Alarcos"
350,365,69,1,3,"Ronda de Alarcos"
365,368,79,0,2,"Ronda de Alarcos"
368,374,240,0,0,"Ronda de la Ciruela"
375,377,120,1,4,"Ronda de la Ciruela"
377,383,248,0,4,"Ronda de la Ciruela"
383,40901,92,1,2,"Ronda de la Ciruela"
371,359,131,3,19,"Calle Alarcos"
359,358,73,0,13,"Calle Alarcos"
355,359,74,1,6,"Calle Juan Carlos II"
355,345,52,0,3,"Calle Juan Carlos II"
355,356,76,0,6,"Calle Bernardo Mulleras"
358,356,61,4,5,"Avenida de Alfonso X El sabio"
356,347,57,0,8,"Avenida de Alfonso X El sabio"
347,335,49,0,6,"Avenida de Alfonso X El sabio"
330,323,45,0,0,"Calle de Morería"
323,324,71,3,4,"Calle de Morería"
324,325,42,1,4,"Calle de Morería"
325,327,74,1,9,"Calle de Morería"
327,389,18,0,4,"Calle de Morería"
389,343,54,2,5,"Calle de Morería"
343,352,83,0,8,"Calle Alamillo Alto"
343,344,28,0,6,"Calle de Morería"
344,346,28,0,3,"Calle de Morería"
346,353,91,3,4,"Calle de la Jara"
346,345,42,1,4,"Calle de Morería"
305,311,70,1,14,"Toledo"
311,321,174,0,21,"Toledo"
305,304,67,0,3,"De la Rosa"
304,50010,110,2,2,"De la Rosa"
304,10301,124,1,8,"De la Paz"
50010,50011,119,0,8,"De los Caballeros"
50010,318,104,0,0,"De Camarín"
50010,309,47,0,0,"De los Caballeros"
309,311,130,0,0,"Pasaje de la Merced"
309,319,107,0,3,"De los Caballeros"
319,334,51,0,3,"De los Caballeros"
335,345,87,0,10,"Calle de Postas"
345,354,98,1,9,"Calle de Postas"
354,371,72,1,5,"Calle de Postas"
371,373,50,0,1,"Calle de Postas"
373,384,70,1,2,"Calle de Postas"
384,374,80,5,8,"Calle de Postas"
374,375,46,0,1,"Ronda de la Ciruela"
375,376,170,0,8,"Av del Rey Santo"
376,373,110,2,4,"Calle del Tinte"
327,352,95,1,4,"Calle del Olivo"
352,353,65,1,1,"Calle del Alamillo Bajo"
353,354,66,1,0,"Calle del Alamillo Bajo"
352,367,80,0,1,"Calle del Olivo"
367,371,97,1,3,"Calle del Obispo Estenaga"
367,370,73,0,1,"Calle del Olivo"
370,372,33,0,2,"Calle del Olivo"
372,384,85,1,2,"Calle del Olivo"
372,373,66,0,0,"Calle Obispo Hervás"
357,40504,92,0,0,"Calle de Alarcos"
358,40504,67,0,4,"Calle de Alarcos"
40504,40507,20,0,0,"Plaza del Pilar"
40507,362,19,0,1,"Plaza del Pilar"
362,363,48,0,4,"Plaza del Pilar"
363,364,80,1,3,"Av del Rey Santo"
364,359,100,0,0,"Calle de Moreria"
364,376,100,5,5,"Av del Rey Santo"
364,382,90,0,5,"Calle de Moreria"
342,351,72,0,2,"Calle de Santo Tomás de Villanueva"
351,366,68,0,1,"Calle de Santo Tomás de Villanueva"
366,369,76,1,2,"Calle de Santo Tomás de Villanueva"
350,351,91,0,1,"Calle de Antonio Blázquez"
351,352,81,2,1,"Calle de Antonio Blázquez"
365,366,90,0,2,"Calle de Bernardo Balbuena"
366,367,74,1,1,"Calle de Bernardo Balbuena"
368,369,84,0,3,"Calle de Diego de Almagro"
369,370,58,0,1,"Calle de Diego de Almagro"
352,342,100,1,4,"Lentejuela"
342,341,43,0,2,"Lentejuela"
341,340,51,2,2,"Lentejuela"
342,324,93,2,2,"Palomares"
325,342,85,0,7,"Enmedio"
341,339,32,0,0,"Valencia"
339,337,29,1,1,"Valencia"
337,387,30,0,2,"Valencia"
338,339,49,0,1,"Castellón"
337,336,49,0,0,"Alicante"
356,357,90,1,8,"Calle de Bernardo Mulleras"
357,40501,41,0,6,"Calle del General Aguilera"
40501,348,60,2,4,"Calle del Mercado Viejo"
348,347,120,3,9,"Pje de San Isidro"
3391,335,100,1,6,"Calle de Postas"
348,3390,30,0,2,"Calle del Mercado Viejo"
3390,3391,29,0,3,"Calle del Mercado Viejo"
